datetime,game_length,game_result,time_per_game,training_steps
2025-11-11 22:08:15,24,W+1.0,6.0446,0
2025-11-11 22:08:22,26,W+1.0,6.5395,0
2025-11-11 22:08:33,46,W+1.0,8.0018,0
2025-11-11 22:08:42,33,B+1.0,8.3915,0
2025-11-11 22:08:51,35,B+1.0,8.5439,0
2025-11-11 22:09:02,40,W+1.0,8.8067,0
2025-11-11 22:09:13,43,B+1.0,9.1829,0
2025-11-11 22:09:26,49,B+1.0,9.6341,0
2025-11-11 22:09:36,41,B+1.0,9.6878,0
2025-11-11 22:09:41,19,B+1.0,9.2188,0
2025-11-11 22:09:52,44,W+1.0,9.3866,0
2025-11-11 22:10:02,38,W+1.0,9.4451,0
2025-11-11 22:10:15,44,W+1.0,9.7287,0
2025-11-11 22:10:25,40,W+1.0,9.7159,0
2025-11-11 22:10:32,32,W+1.0,9.5741,0
2025-11-11 22:10:41,33,B+1.0,9.4846,0
2025-11-11 22:10:51,50,W+1.0,9.5714,0
2025-11-11 22:10:59,29,B+1.0,9.4498,0
2025-11-11 22:11:07,28,W+1.0,9.3593,0
2025-11-11 22:11:12,22,W+1.0,9.1752,0
2025-11-11 22:11:30,54,W+1.0,9.5643,0
2025-11-11 22:11:40,41,B+1.0,9.6128,0
2025-11-11 22:11:54,46,W+1.0,9.7782,0
2025-11-11 22:12:06,49,B+1.0,9.8877,0
2025-11-11 22:12:15,32,W+1.0,9.8343,0
2025-11-11 22:12:24,35,B+1.0,9.8151,0
2025-11-11 22:12:35,43,B+1.0,9.8679,0
2025-11-11 22:12:44,34,W+1.0,9.8455,0
2025-11-11 22:12:56,46,W+1.0,9.9043,0
2025-11-11 22:13:05,36,W+1.0,9.8613,0
2025-11-11 22:13:13,35,B+1.0,9.8235,0
2025-11-11 22:13:19,25,B+1.0,9.7076,0
2025-11-11 22:13:26,25,B+1.0,9.6253,0
2025-11-11 22:13:34,26,W+1.0,9.5619,0
2025-11-11 22:13:38,17,B+1.0,9.4074,0
2025-11-11 22:13:48,35,B+1.0,9.4101,0
2025-11-11 22:13:56,30,W+1.0,9.3758,0
2025-11-11 22:14:03,31,B+1.0,9.3278,0
2025-11-11 22:14:10,27,B+1.0,9.267,0
2025-11-11 22:14:19,32,W+1.0,9.2524,0
2025-11-11 22:14:26,29,B+1.0,9.2006,0
2025-11-11 22:14:38,41,B+1.0,9.2569,0
